ID,NCode,Year,Month,DOM_Flights,INT_Flights,TOT_Flights,DOM_Passengers,INT_Passengers,TOT_Passengers,Arr_flights,Arr_del15,Carrier_ct,Weather_ct,NAS_ct,Security_ct,Late_aircraft_ct,Arr_cancelled,Arr_diverted,Arr_delay,Carrier_delay,Weather_delay,NAS_delay,Security_delay,Late_aircraft_delay,inc_dec,inc_dec_label
13,1,2010,1,45545,11842,57387,5071320,1623904,6695224,590,103,36,5,35,0,27,15,2,5341,2074,314,1354,30,1569,1632,1
25,1,2011,1,44782,12562,57344,4984095,1721945,6706040,592,99,35,6,31,0,27,19,1,5213,1982,375,1269,1,1587,10816,1
37,1,2012,1,43139,12567,55706,4997279,1772562,6769841,533,77,28,4,28,0,18,9,1,3886,1663,205,1023,5,991,63801,1
49,1,2013,1,44107,12785,56892,5195596,1781780,6977376,547,101,32,4,31,0,34,11,1,5202,1792,281,1153,14,1963,207535,1
61,1,2014,1,43978,13427,57405,5222881,1881402,7104283,540,112,35,9,28,0,39,19,1,6329,2138,608,1098,1,2485,126907,1
73,1,2015,1,43287,12960,56247,5140185,1807013,6947198,544,118,38,4,34,0,41,11,1,6858,2515,306,1240,8,2788,-157085,2
85,1,2016,1,73096,16163,89259,9044128,2237425,11281553,796,131,46,4,45,0,36,29,1,7321,3076,382,1551,15,2296,4334355,1
97,1,2017,1,72378,15749,88127,8850729,2200571,11051300,786,151,44,3,61,1,42,11,2,8336,2820,354,2314,27,2821,-230253,2
109,1,2018,1,72293,15612,87905,9031178,2233160,11264338,767,118,40,5,40,0,33,15,1,7041,2656,388,1576,12,2409,213038,1
14,1,2010,2,40142,10529,50671,4587189,1368464,5955653,535,112,37,7,39,0,29,29,1,6388,2256,496,1784,3,1849,-256271,2
26,1,2011,2,39189,11181,50370,4528400,1450789,5979189,536,119,35,10,40,0,33,35,1,6422,2048,666,1671,7,2031,23536,1
38,1,2012,2,41446,11652,53098,4867812,1547404,6415216,510,65,24,1,23,0,16,6,1,3285,1460,88,778,2,957,436027,1
50,1,2013,2,40076,11567,51643,4822406,1537307,6359713,497,94,28,5,28,0,33,10,1,4972,1628,274,1105,1,1963,-55503,2
62,1,2014,2,39248,11914,51162,4816811,1558364,6375175,489,102,29,5,33,0,35,23,1,6086,1870,400,1508,1,2308,15462,1
74,1,2015,2,37396,11417,48813,4684026,1532258,6216284,498,99,30,7,36,0,27,32,1,6271,2080,641,1551,6,1993,-158891,2
86,1,2016,2,70596,14975,85571,8630105,1931654,10561759,752,116,36,3,44,0,31,11,1,6878,2317,343,1972,11,2236,4345475,1
98,1,2017,2,66463,14055,80518,8313772,1853828,10167600,714,96,30,1,40,0,25,8,1,5383,2014,165,1484,5,1714,-394159,2
110,1,2018,2,67711,14307,82018,8753570,1957329,10710899,712,126,35,5,49,0,37,9,2,7341,2319,379,2051,8,2583,543299,1
15,1,2010,3,46963,12095,59058,5826764,1676622,7503386,599,134,41,9,47,0,36,7,2,7783,2587,592,2177,3,2423,80947,1
27,1,2011,3,46034,12423,58457,5672521,1749361,7421882,599,102,37,2,35,0,28,11,2,5697,2284,181,1503,2,1727,-81504,2
39,1,2012,3,45567,12451,58018,5799813,1805382,7605195,569,104,29,5,36,0,33,9,2,5951,1782,342,1428,3,2396,183313,1
51,1,2013,3,45332,13100,58432,5673163,1872393,7545556,556,95,28,4,29,0,34,5,1,5367,1631,278,1228,3,2227,-59639,2
63,1,2014,3,45537,13526,59063,5741624,1807255,7548879,551,100,30,3,33,0,33,10,1,5640,1844,254,1310,4,2227,3323,1
75,1,2015,3,44655,12867,57522,5730340,1776793,7507133,561,119,42,2,35,0,39,17,1,6951,2706,225,1327,5,2688,-41746,2
87,1,2016,3,78887,17062,95949,10231931,2403928,12635859,860,160,47,4,58,1,50,5,2,9155,3070,362,2286,33,3404,5128726,1
99,1,2017,3,77089,16526,93615,10234502,2298450,12532952,868,157,46,3,59,0,48,14,1,8943,3116,198,2303,17,3309,-102907,2
111,1,2018,3,75893,16863,92756,10422226,2442033,12864259,823,118,42,2,37,0,37,26,1,6430,2564,185,1290,15,2376,331307,1
16,1,2010,4,44521,11532,56053,5556542,1589256,7145798,566,89,33,4,28,0,24,4,2,4945,2010,254,1181,3,1497,-91712,2
28,1,2011,4,44236,11758,55994,5443337,1677494,7120831,557,141,37,8,55,0,41,15,3,8600,2280,664,2689,1,2965,-24967,2
40,1,2012,4,42425,11566,53991,5407854,1720613,7128467,534,78,23,6,24,0,25,20,2,4842,1361,569,904,2,2007,7636,1
52,1,2013,4,43469,12082,55551,5349248,1686536,7035784,553,140,37,4,45,0,54,12,2,9359,2714,351,2318,1,3974,-92683,2
64,1,2014,4,43630,12877,56507,5501405,1767296,7268701,552,94,27,3,34,0,30,2,2,5415,1791,211,1350,2,2061,232917,1
76,1,2015,4,44663,12144,56807,5688230,1671021,7359251,560,109,33,7,36,0,33,4,3,7021,2129,584,1591,5,2712,90550,1
88,1,2016,4,74412,16328,90740,9612141,2218028,11830169,814,125,39,3,48,0,35,7,2,7364,2517,385,1956,12,2494,4470918,1
100,1,2017,4,73099,16651,89750,9606283,2453381,12059664,767,154,41,4,60,0,49,8,1,9905,2919,302,2840,11,3832,229495,1
112,1,2018,4,74118,16567,90685,9879265,2362254,12241519,759,116,37,3,39,0,35,5,2,6867,2471,296,1620,8,2472,181855,1
17,1,2010,5,44949,12299,57248,5668495,1706781,7375276,607,128,37,7,47,0,37,11,3,7704,2255,548,2365,3,2533,153923,1
29,1,2011,5,43937,12071,56008,5620742,1738519,7359261,591,138,41,10,46,0,40,33,5,9459,2675,1025,2499,2,3259,-16015,2
41,1,2012,5,45084,12039,57123,5810112,1752991,7563103,579,107,28,8,36,0,34,4,3,6925,1816,702,1651,3,2753,203842,1
53,1,2013,5,45433,12601,58034,5661503,1796344,7457847,586,128,34,6,42,0,47,8,4,8319,2133,538,2137,3,3508,-105256,2
65,1,2014,5,44916,13085,58001,5767256,1820960,7588216,557,113,34,6,35,0,38,13,3,7146,2047,697,1741,3,2659,130369,1
77,1,2015,5,44065,12673,56738,5704600,1777277,7481877,588,113,33,8,36,0,36,12,3,7553,2371,814,1594,6,2768,-106339,2
89,1,2016,5,78480,16373,94853,10283822,2330575,12614397,894,164,48,8,60,1,47,6,3,10275,3406,782,2532,18,3537,5132520,1
101,1,2017,5,77011,17295,94306,10136949,2545846,12682795,831,158,43,3,64,0,49,5,2,9327,2906,192,2845,15,3369,68398,1
113,1,2018,5,77253,17133,94386,10356532,2549757,12906289,829,165,49,7,53,0,56,10,3,11053,3437,615,2628,8,4364,223494,1
18,1,2010,6,44173,12307,56480,5826063,1819741,7645804,583,136,41,7,48,0,40,13,4,8119,2557,569,2248,2,2742,20831,1
30,1,2011,6,44959,12285,57244,5859655,1855489,7715144,572,116,43,5,36,0,32,13,3,6817,2599,442,1589,6,2180,69340,1
42,1,2012,6,43178,12085,55263,5763314,1877300,7640614,544,99,32,7,31,0,30,8,3,6219,2034,619,1437,8,2121,-74530,2
54,1,2013,6,44895,12973,57868,5766511,1953480,7719991,552,156,39,9,42,0,66,8,3,10533,2682,696,2160,4,4991,79377,1
66,1,2014,6,45663,13436,59099,5935921,1918545,7854466,546,168,41,10,52,0,66,6,3,11031,2802,814,2454,3,4958,134475,1
78,1,2015,6,44042,13401,57443,5938232,1950817,7889049,569,126,39,6,37,0,44,7,3,8539,2854,466,1750,8,3460,34583,1
90,1,2016,6,79164,17298,96462,10576237,2570740,13146977,895,234,71,9,73,0,82,9,3,15658,5111,920,3365,21,6242,5257928,1
102,1,2017,6,76142,17932,94074,10253686,2754153,13007839,787,195,51,9,67,0,68,13,2,13113,3688,766,3444,19,5197,-139138,2
114,1,2018,6,77266,17672,94938,10635376,2775993,13411369,784,189,57,10,54,0,68,14,3,12167,3812,855,2496,11,4993,403530,1
19,1,2010,7,46117,13282,59399,6019072,2044146,8063218,603,130,42,7,43,0,37,7,3,7265,2714,421,1779,2,2348,-95292,2
31,1,2011,7,46435,13139,59574,6076925,2108152,8185077,591,118,45,6,31,0,36,12,2,6888,2718,415,1418,1,2336,121859,1
43,1,2012,7,44515,13115,57630,5862790,2118354,7981144,559,122,36,8,41,0,37,7,3,7529,2221,596,2071,2,2639,-203933,2
55,1,2013,7,46654,13895,60549,5904915,2168377,8073292,576,138,38,6,40,0,54,11,3,8045,2333,398,1810,1,3504,92148,1
67,1,2014,7,47130,14057,61187,6137012,2106182,8243194,565,147,40,6,45,0,55,7,3,8772,2552,542,1970,4,3704,169902,1
79,1,2015,7,81130,19027,100157,11012728,2955422,13968150,947,180,57,6,56,0,60,7,3,10499,3493,433,2389,19,4166,5724956,1
91,1,2016,7,80654,18349,99003,10707983,2855898,13563881,928,252,75,11,78,1,88,16,4,17371,5382,1033,4060,26,6870,-404269,2
103,1,2017,7,78311,18891,97202,10476594,2971718,13448312,863,212,60,11,67,1,74,16,4,14557,4392,989,3410,36,5730,-115569,2
115,1,2018,7,79177,18423,97600,10882459,2938321,13820780,807,220,65,11,66,0,78,19,3,14826,4460,1041,3322,23,5979,372468,1
20,1,2010,8,46122,12799,58921,5756912,1954418,7711330,602,109,40,5,33,0,31,5,2,6347,2696,326,1347,6,1972,-7686,2
32,1,2011,8,45552,12327,57879,5717545,1928311,7645856,586,119,43,7,33,0,35,20,2,7105,2660,500,1576,6,2363,-65474,2
44,1,2012,8,44018,12313,56331,5670333,1962848,7633181,558,128,40,6,42,0,41,11,2,7488,2423,422,1743,13,2887,-12675,2
56,1,2013,8,46595,13539,60134,5717993,2068984,7786977,572,98,31,3,29,0,36,6,2,5516,1782,293,1193,4,2245,153796,1
68,1,2014,8,45957,13098,59055,5846685,1969771,7816456,550,139,40,7,42,0,50,6,3,8544,2544,654,1818,2,3525,29479,1
80,1,2015,8,79263,17877,97140,10562351,2778911,13341262,938,170,57,7,52,1,53,9,3,10151,3761,506,2341,30,3513,5524806,1
92,1,2016,8,79138,16910,96048,10094479,2610334,12704813,863,223,66,9,73,1,75,16,3,15074,4898,912,3656,44,5565,-636449,2
104,1,2017,8,78553,17568,96121,10366917,2746344,13113261,809,168,48,6,61,1,53,10,2,10033,3140,460,2723,25,3685,408448,1
116,1,2018,8,79351,17185,96536,10584430,2719275,13303705,804,204,60,10,67,0,66,14,3,13634,4167,874,3467,14,5112,190444,1
21,1,2010,9,43268,10957,54225,5120391,1570938,6691329,564,87,27,6,30,0,23,4,2,4696,1706,321,1329,5,1335,181430,1
33,1,2011,9,43411,10737,54148,5277512,1573058,6850570,545,90,33,4,30,0,23,4,2,5075,2030,323,1238,2,1482,159241,1
45,1,2012,9,40677,10998,51675,4927838,1632458,6560296,523,202,71,4,60,0,67,16,1,11697,4624,206,2225,8,4634,-290274,2
57,1,2013,9,42986,11159,54145,5004226,1634307,6638533,526,81,27,3,23,0,28,3,2,4830,1620,247,1011,1,1952,78237,1
69,1,2014,9,43110,10995,54105,5163078,1549901,6712979,515,93,29,1,34,0,28,3,1,5020,1791,72,1371,7,1779,74446,1
81,1,2015,9,73187,14636,87823,9394625,2153178,11547803,834,114,40,4,40,0,31,4,2,6310,2490,298,1505,14,2003,4834824,1
93,1,2016,9,72358,13707,86065,9213005,2007737,11220742,763,127,38,5,49,0,34,3,1,7107,2455,342,1999,10,2301,-327061,2
105,1,2017,9,68928,12778,81706,8844642,1941685,10786327,735,91,31,2,34,0,23,34,1,5139,1951,228,1313,15,1633,-434415,2
117,1,2018,9,73948,14136,88084,9004336,2088901,11093237,775,151,45,7,54,1,44,15,2,9938,3188,654,2615,91,3390,306910,1
22,1,2010,10,44396,11478,55874,5621810,1671953,7293763,604,75,27,2,27,0,19,6,2,4081,1503,257,1172,3,1146,173457,1
34,1,2011,10,44337,11147,55484,5597937,1636251,7234188,577,92,34,3,33,0,24,3,2,4645,1954,191,1167,3,1330,-59575,2
46,1,2012,10,42071,11399,53470,5307352,1638952,6946304,560,164,54,2,60,0,48,16,1,7902,2973,118,1996,2,2813,-287884,2
58,1,2013,10,45244,11557,56801,5537823,1687648,7225471,572,97,30,2,30,0,35,1,1,4724,1700,106,973,0,1945,279167,1
70,1,2014,10,44856,11253,56109,5586600,1599344,7185944,544,124,33,4,46,0,41,5,1,7517,2071,318,2256,13,2859,-39527,2
82,1,2015,10,76790,14893,91683,10202478,2217380,12419858,868,114,40,4,40,0,30,8,2,6615,2481,387,1573,12,2162,5233914,1
94,1,2016,10,74458,14167,88625,9669243,2094834,11764077,808,114,37,1,45,0,31,9,1,5854,2236,74,1635,11,1898,-655781,2
106,1,2017,10,75559,15007,90566,10184330,2201837,12386167,765,109,36,2,42,0,29,4,1,6010,2217,121,1624,15,2032,622090,1
118,1,2018,10,78497,14896,93393,10268808,2219703,12488511,798,160,47,5,56,0,52,7,2,10044,3266,533,2273,8,3963,102344,1
23,1,2010,11,43094,11233,54327,5271371,1597873,6869244,576,82,27,3,31,0,21,2,1,4021,1553,185,1124,1,1158,185965,1
35,1,2011,11,41353,10891,52244,5237700,1571807,6809507,532,93,30,2,38,0,21,2,1,4559,1774,119,1450,0,1215,-59737,2
47,1,2012,11,41689,11659,53348,5217765,1663385,6881150,538,104,40,1,31,0,32,4,1,5044,2104,65,1040,2,1833,71643,1
59,1,2013,11,42619,11679,54298,5039567,1630630,6670197,540,88,28,2,26,0,32,9,1,4566,1631,111,886,46,1891,-210953,2
71,1,2014,11,42397,11996,54393,5099070,1591197,6690267,532,111,33,4,32,0,42,3,1,6405,2141,252,1213,5,2794,20070,1
83,1,2015,11,73572,14795,88367,9500290,2020508,11520798,830,127,42,5,45,1,35,6,2,7264,2548,445,1792,49,2430,4830531,1
95,1,2016,11,71727,13751,85478,9228542,1941246,11169788,789,112,33,1,47,0,30,2,1,5695,1961,87,1701,16,1929,-351010,2
107,1,2017,11,69689,14062,83751,9486559,2018610,11505169,718,79,29,1,27,0,21,1,1,4091,1725,58,864,45,1399,335381,1
119,1,2018,11,74178,13765,87943,9888304,2042505,11930809,769,140,45,3,51,0,41,5,1,8470,3070,374,2064,13,2950,425640,1
24,1,2010,12,44697,12230,56927,5385462,1750643,7136105,585,98,32,6,34,0,25,14,2,5356,1875,355,1599,14,1512,65059,1
36,1,2011,12,42745,12449,55194,5217199,1791107,7008306,529,88,33,4,29,0,22,3,1,4324,1957,179,993,0,1195,-127799,2
48,1,2012,12,44037,12988,57025,5377297,1828984,7206281,546,123,40,4,35,0,43,11,1,6830,2312,355,1470,3,2690,197975,1
60,1,2013,12,42876,13414,56290,5379304,1950554,7329858,544,124,35,9,35,0,45,36,1,6827,2082,621,1360,3,2762,123577,1
72,1,2014,12,45150,13324,58474,5566235,1873600,7439835,534,137,42,1,42,0,52,4,1,7787,2804,83,1529,6,3365,109977,1
84,1,2015,12,75602,17065,92667,9721932,2370064,12091996,832,157,52,5,55,1,44,14,2,9200,3283,516,2238,26,3137,4652161,1
96,1,2016,12,73393,16764,90157,9334761,2360973,11695734,794,159,49,4,56,0,49,6,1,9405,3232,425,2201,21,3526,-396262,2
108,1,2017,12,73581,16631,90212,9716423,2403612,12120035,737,128,40,4,46,0,38,3,1,7616,2653,439,1806,13,2705,424301,1
120,1,2018,12,74942,16032,90974,9764388,2378953,12143341,746,137,42,4,50,0,39,14,2,7749,2694,407,1859,18,2771,23306,1
253,3,2010,1,16027,2183,18210,1536621,212671,1749292,361,86,24,1,30,0,31,5,1,5712,1614,73,1590,8,2427,89313,1
265,3,2011,1,16244,2260,18504,1666910,246521,1913431,364,107,36,1,33,0,36,20,1,6285,2214,82,1578,13,2399,164139,1
277,3,2012,1,17842,2842,20684,1863646,299674,2163320,364,67,22,0,22,0,21,1,1,3564,1320,21,880,3,1341,249889,1
289,3,2013,1,19292,3287,22579,2041023,342195,2383218,378,80,27,1,27,0,25,1,1,4347,1655,56,1066,7,1563,219898,1
301,3,2014,1,18190,3870,22060,1924406,415806,2340212,368,117,39,6,32,0,39,39,2,9711,3184,985,1565,16,3960,-43006,2
