ID,Airline,ACode,NCode,Year,Month,DOM_Flights,INT_Flights,TOT_Flights,DOM_Passengers,INT_Passengers,TOT_Passengers
578,United Air Lines,UA,5,2017,2,39735,12089,51824,5254113,1743226,6997339
571,United Air Lines,UA,5,2016,7,47857,16342,64199,6767029,2785547,9552576
572,United Air Lines,UA,5,2016,8,49703,14750,64453,6788195,2501629,9289824
573,United Air Lines,UA,5,2016,9,46870,11865,58735,6337483,1981344,8318827
574,United Air Lines,UA,5,2016,10,49691,11893,61584,6790121,1936038,8726159
575,United Air Lines,UA,5,2016,11,46043,11545,57588,6297085,1836771,8133856
587,United Air Lines,UA,5,2017,11,48381,12489,60870,6803531,1927316,8730847
577,United Air Lines,UA,5,2017,1,42317,13837,56154,5577898,2106434,7684332
586,United Air Lines,UA,5,2017,10,51239,12640,63879,7100764,1938972,9039736
579,United Air Lines,UA,5,2017,3,47941,14528,62469,6712764,2209138,8921902
580,United Air Lines,UA,5,2017,4,45622,14107,59729,6478750,2221866,8700616
581,United Air Lines,UA,5,2017,5,49466,14302,63768,6914319,2224936,9139255
598,United Air Lines,UA,5,2018,10,55635,12494,68129,7660817,2057748,9718565
583,United Air Lines,UA,5,2017,7,53430,16850,70280,7680435,2869396,10549831
570,United Air Lines,UA,5,2016,6,46399,14880,61279,6592185,2495365,9087550
576,United Air Lines,UA,5,2016,12,45329,14090,59419,6232029,2212170,8444199
493,United Air Lines,UA,5,2010,1,27713,4541,32254,3256750,746340,4003090
511,United Air Lines,UA,5,2011,7,28530,5227,33757,3822906,999916,4822822
506,United Air Lines,UA,5,2011,2,23216,4242,27458,2809725,638719,3448444
505,United Air Lines,UA,5,2011,1,25702,4738,30440,3012378,770944,3783322
504,United Air Lines,UA,5,2010,12,27172,4597,31769,3326001,800610,4126611
503,United Air Lines,UA,5,2010,11,27263,4133,31396,3397281,709283,4106564
502,United Air Lines,UA,5,2010,10,29057,4535,33592,3754131,830069,4584200
501,United Air Lines,UA,5,2010,9,27980,4362,32342,3498724,836388,4335112
500,United Air Lines,UA,5,2010,8,30444,4866,35310,4030843,936221,4967064
499,United Air Lines,UA,5,2010,7,30224,4973,35197,4019575,952962,4972537
498,United Air Lines,UA,5,2010,6,29090,4692,33782,3924482,908091,4832573
497,United Air Lines,UA,5,2010,5,28740,4665,33405,3724578,859352,4583930
496,United Air Lines,UA,5,2010,4,28081,4237,32318,3594361,725217,4319578
508,United Air Lines,UA,5,2011,4,25052,5117,30169,3230000,828484,4058484
494,United Air Lines,UA,5,2010,2,24772,3912,28684,2998199,625452,3623651
510,United Air Lines,UA,5,2011,6,27382,4942,32324,3664079,932071,4596150
492,United Air Lines,UA,5,2009,12,28448,4318,32766,3473568,758154,4231722
491,United Air Lines,UA,5,2009,11,27613,4005,31618,3369503,670795,4040298
490,United Air Lines,UA,5,2009,10,30299,4391,34690,3805704,773793,4579497
489,United Air Lines,UA,5,2009,9,29685,4445,34130,3554837,790828,4345665
488,United Air Lines,UA,5,2009,8,33285,5158,38443,4289258,953737,5242995
487,United Air Lines,UA,5,2009,7,33582,5175,38757,4400040,943272,5343312
486,United Air Lines,UA,5,2009,6,32563,4918,37481,4213529,868922,5082451
485,United Air Lines,UA,5,2009,5,31517,4749,36266,3905735,772120,4677855
484,United Air Lines,UA,5,2009,4,30970,5035,36005,3834934,793987,4628921
483,United Air Lines,UA,5,2009,3,33946,4977,38923,4083279,789119,4872398
482,United Air Lines,UA,5,2009,2,29456,4376,33832,3260853,630223,3891076
481,United Air Lines,UA,5,2009,1,30875,4917,35792,3379371,756261,4135632
600,United Air Lines,UA,5,2018,12,51589,14276,65865,7051231,2340358,9391589
495,United Air Lines,UA,5,2010,3,29373,4632,34005,3781975,795355,4577330
525,United Air Lines,UA,5,2012,9,42756,11781,54537,5253311,1838359,7091670
539,United Air Lines,UA,5,2013,11,40550,11476,52026,5122924,1718822,6841746
538,United Air Lines,UA,5,2013,10,43239,11792,55031,5524693,1827429,7352122
537,United Air Lines,UA,5,2013,9,40645,11825,52470,5097214,1870468,6967682
536,United Air Lines,UA,5,2013,8,44455,14087,58542,5902085,2332039,8234124
535,United Air Lines,UA,5,2013,7,44467,14804,59271,5899822,2453930,8353752
