NCode,Year,Month,difference,Carrier_delay,Weather_delay,NAS_delay,Security_delay,Late_aircraft_delay,inc_dec
1,2010,1,1632,2074,314,1354,30,1569,Increase
1,2011,1,10816,1982,375,1269,1,1587,Increase
1,2012,1,63801,1663,205,1023,5,991,Increase
1,2013,1,207535,1792,281,1153,14,1963,Increase
1,2014,1,126907,2138,608,1098,1,2485,Increase
1,2015,1,-157085,2515,306,1240,8,2788,Decrease
1,2016,1,4334355,3076,382,1551,15,2296,Increase
1,2017,1,-230253,2820,354,2314,27,2821,Decrease
1,2018,1,213038,2656,388,1576,12,2409,Increase
1,2010,2,-256271,2256,496,1784,3,1849,Decrease
1,2011,2,23536,2048,666,1671,7,2031,Increase
1,2012,2,436027,1460,88,778,2,957,Increase
1,2013,2,-55503,1628,274,1105,1,1963,Decrease
1,2014,2,15462,1870,400,1508,1,2308,Increase
1,2015,2,-158891,2080,641,1551,6,1993,Decrease
1,2016,2,4345475,2317,343,1972,11,2236,Increase
1,2017,2,-394159,2014,165,1484,5,1714,Decrease
1,2018,2,543299,2319,379,2051,8,2583,Increase
1,2010,3,80947,2587,592,2177,3,2423,Increase
1,2011,3,-81504,2284,181,1503,2,1727,Decrease
1,2012,3,183313,1782,342,1428,3,2396,Increase
1,2013,3,-59639,1631,278,1228,3,2227,Decrease
1,2014,3,3323,1844,254,1310,4,2227,Increase
1,2015,3,-41746,2706,225,1327,5,2688,Decrease
1,2016,3,5128726,3070,362,2286,33,3404,Increase
1,2017,3,-102907,3116,198,2303,17,3309,Decrease
1,2018,3,331307,2564,185,1290,15,2376,Increase
1,2010,4,-91712,2010,254,1181,3,1497,Decrease
1,2011,4,-24967,2280,664,2689,1,2965,Decrease
1,2012,4,7636,1361,569,904,2,2007,Increase
1,2013,4,-92683,2714,351,2318,1,3974,Decrease
1,2014,4,232917,1791,211,1350,2,2061,Increase
1,2015,4,90550,2129,584,1591,5,2712,Increase
1,2016,4,4470918,2517,385,1956,12,2494,Increase
1,2017,4,229495,2919,302,2840,11,3832,Increase
1,2018,4,181855,2471,296,1620,8,2472,Increase
1,2010,5,153923,2255,548,2365,3,2533,Increase
1,2011,5,-16015,2675,1025,2499,2,3259,Decrease
1,2012,5,203842,1816,702,1651,3,2753,Increase
1,2013,5,-105256,2133,538,2137,3,3508,Decrease
1,2014,5,130369,2047,697,1741,3,2659,Increase
1,2015,5,-106339,2371,814,1594,6,2768,Decrease
1,2016,5,5132520,3406,782,2532,18,3537,Increase
1,2017,5,68398,2906,192,2845,15,3369,Increase
1,2018,5,223494,3437,615,2628,8,4364,Increase
1,2010,6,20831,2557,569,2248,2,2742,Increase
1,2011,6,69340,2599,442,1589,6,2180,Increase
1,2012,6,-74530,2034,619,1437,8,2121,Decrease
1,2013,6,79377,2682,696,2160,4,4991,Increase
1,2014,6,134475,2802,814,2454,3,4958,Increase
1,2015,6,34583,2854,466,1750,8,3460,Increase
1,2016,6,5257928,5111,920,3365,21,6242,Increase
1,2017,6,-139138,3688,766,3444,19,5197,Decrease
1,2018,6,403530,3812,855,2496,11,4993,Increase
1,2010,7,-95292,2714,421,1779,2,2348,Decrease
1,2011,7,121859,2718,415,1418,1,2336,Increase
1,2012,7,-203933,2221,596,2071,2,2639,Decrease
1,2013,7,92148,2333,398,1810,1,3504,Increase
1,2014,7,169902,2552,542,1970,4,3704,Increase
1,2015,7,5724956,3493,433,2389,19,4166,Increase
1,2016,7,-404269,5382,1033,4060,26,6870,Decrease
1,2017,7,-115569,4392,989,3410,36,5730,Decrease
1,2018,7,372468,4460,1041,3322,23,5979,Increase
1,2010,8,-7686,2696,326,1347,6,1972,Decrease
1,2011,8,-65474,2660,500,1576,6,2363,Decrease
1,2012,8,-12675,2423,422,1743,13,2887,Decrease
1,2013,8,153796,1782,293,1193,4,2245,Increase
1,2014,8,29479,2544,654,1818,2,3525,Increase
1,2015,8,5524806,3761,506,2341,30,3513,Increase
1,2016,8,-636449,4898,912,3656,44,5565,Decrease
1,2017,8,408448,3140,460,2723,25,3685,Increase
1,2018,8,190444,4167,874,3467,14,5112,Increase
1,2010,9,181430,1706,321,1329,5,1335,Increase
1,2011,9,159241,2030,323,1238,2,1482,Increase
1,2012,9,-290274,4624,206,2225,8,4634,Decrease
1,2013,9,78237,1620,247,1011,1,1952,Increase
1,2014,9,74446,1791,72,1371,7,1779,Increase
1,2015,9,4834824,2490,298,1505,14,2003,Increase
1,2016,9,-327061,2455,342,1999,10,2301,Decrease
1,2017,9,-434415,1951,228,1313,15,1633,Decrease
1,2018,9,306910,3188,654,2615,91,3390,Increase
1,2010,10,173457,1503,257,1172,3,1146,Increase
1,2011,10,-59575,1954,191,1167,3,1330,Decrease
1,2012,10,-287884,2973,118,1996,2,2813,Decrease
1,2013,10,279167,1700,106,973,0,1945,Increase
1,2014,10,-39527,2071,318,2256,13,2859,Decrease
1,2015,10,5233914,2481,387,1573,12,2162,Increase
1,2016,10,-655781,2236,74,1635,11,1898,Decrease
1,2017,10,622090,2217,121,1624,15,2032,Increase
1,2018,10,102344,3266,533,2273,8,3963,Increase
1,2010,11,185965,1553,185,1124,1,1158,Increase
1,2011,11,-59737,1774,119,1450,0,1215,Decrease
1,2012,11,71643,2104,65,1040,2,1833,Increase
1,2013,11,-210953,1631,111,886,46,1891,Decrease
1,2014,11,20070,2141,252,1213,5,2794,Increase
1,2015,11,4830531,2548,445,1792,49,2430,Increase
1,2016,11,-351010,1961,87,1701,16,1929,Decrease
1,2017,11,335381,1725,58,864,45,1399,Increase
1,2018,11,425640,3070,374,2064,13,2950,Increase
1,2010,12,65059,1875,355,1599,14,1512,Increase
1,2011,12,-127799,1957,179,993,0,1195,Decrease
1,2012,12,197975,2312,355,1470,3,2690,Increase
1,2013,12,123577,2082,621,1360,3,2762,Increase
1,2014,12,109977,2804,83,1529,6,3365,Increase
1,2015,12,4652161,3283,516,2238,26,3137,Increase
1,2016,12,-396262,3232,425,2201,21,3526,Decrease
1,2017,12,424301,2653,439,1806,13,2705,Increase
1,2018,12,23306,2694,407,1859,18,2771,Increase
3,2010,1,89313,1614,73,1590,8,2427,Increase
3,2011,1,164139,2214,82,1578,13,2399,Increase
3,2012,1,249889,1320,21,880,3,1341,Increase
3,2013,1,219898,1655,56,1066,7,1563,Increase
3,2014,1,-43006,3184,985,1565,16,3960,Decrease
3,2015,1,316076,1341,165,1417,20,1902,Increase
3,2016,1,287470,1956,193,1088,18,2456,Increase
3,2017,1,342857,1953,138,1465,30,2817,Increase
3,2018,1,-124316,3030,227,1387,19,3636,Decrease
3,2010,2,5607,1518,347,1508,17,2144,Increase
3,2011,2,175274,1839,54,1648,7,2156,Increase
3,2012,2,303697,1066,5,696,3,866,Increase
3,2013,2,41714,1758,50,1291,5,2061,Increase
3,2014,2,67503,1773,220,1529,17,2208,Increase
3,2015,2,204708,2208,364,1799,19,3040,Increase
