Year,period,code,carrier,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2009,1,AA,American Airlines Inc.,612,127,36,13,45,0,34,21,2,7299,2257,799,1947,3,2292
2009,1,B6,JetBlue Airways,378,87,20,1,36,0,30,6,1,4759,1272,93,1630,7,1756
2009,1,DL,Delta Air Lines Inc.,388,80,17,2,42,0,20,6,1,3517,864,144,1496,2,1012
2009,1,UA,United Air Lines Inc.,394,73,19,2,28,0,24,9,1,4083,1143,129,1178,1,1632
2009,1,WN,Southwest Airlines Co.,1502,223,56,8,45,1,113,25,3,10075,2343,539,1650,26,5517
2009,2,AA,American Airlines Inc.,550,90,32,2,33,0,22,12,1,4930,1886,132,1498,1,1412
2009,2,B6,JetBlue Airways,351,63,15,0,27,0,21,2,1,3713,1003,17,1333,3,1356
2009,2,DL,Delta Air Lines Inc.,351,57,11,1,33,0,13,3,1,2578,610,93,1250,1,624
2009,2,UA,United Air Lines Inc.,374,61,14,1,25,0,22,6,0,3517,824,63,1125,0,1504
2009,2,WN,Southwest Airlines Co.,1351,148,39,4,31,0,73,9,1,6527,1621,245,1191,12,3458
2009,3,AA,American Airlines Inc.,613,122,40,4,46,0,33,14,2,7175,2593,256,2164,1,2162
2009,3,B6,JetBlue Airways,399,75,17,1,34,0,23,7,1,4640,1182,102,1773,2,1580
2009,3,DL,Delta Air Lines Inc.,404,93,18,3,45,0,27,12,1,4846,1118,223,1975,0,1530
2009,3,UA,United Air Lines Inc.,432,74,17,1,26,0,29,10,1,4387,1124,74,1187,1,2001
2009,3,WN,Southwest Airlines Co.,1529,228,60,7,39,1,122,15,3,11172,2503,577,1563,27,6500
2009,4,AA,American Airlines Inc.,585,138,38,5,53,0,41,9,2,9055,2507,404,2978,2,3164
2009,4,B6,JetBlue Airways,393,94,20,1,44,0,28,13,1,6301,1390,228,2630,3,2049
2009,4,DL,Delta Air Lines Inc.,414,91,20,2,45,0,24,4,2,5327,1362,268,2052,1,1644
2009,4,UA,United Air Lines Inc.,418,73,18,1,25,0,27,8,1,4569,1178,105,1271,0,2015
2009,4,WN,Southwest Airlines Co.,1490,226,60,6,40,1,119,9,3,11541,2592,506,1751,19,6674
2009,5,AA,American Airlines Inc.,639,130,37,5,52,0,35,9,3,7695,2338,411,2492,3,2450
2009,5,B6,JetBlue Airways,369,81,18,1,39,0,23,1,1,4816,1327,37,2038,3,1411
2009,5,DL,Delta Air Lines Inc.,414,91,16,2,50,0,23,2,1,3983,926,80,1856,0,1121
2009,5,UA,United Air Lines Inc.,430,79,18,2,30,0,29,5,1,4659,1131,149,1354,2,2022
2009,5,WN,Southwest Airlines Co.,1503,234,65,7,42,1,119,9,3,11079,2760,433,1748,29,6110
2009,6,AA,American Airlines Inc.,607,166,54,10,54,0,49,17,4,10837,3605,922,2777,4,3530
2009,6,B6,JetBlue Airways,367,101,22,2,47,0,30,4,1,7291,1782,181,3013,1,2315
2009,6,DL,Delta Air Lines Inc.,390,88,21,2,42,0,23,4,2,4951,1380,154,1975,1,1441
2009,6,UA,United Air Lines Inc.,452,113,24,3,41,0,45,9,2,7588,1598,282,2126,6,3577
2009,6,WN,Southwest Airlines Co.,1458,306,77,12,52,1,163,9,4,15988,3362,998,2356,41,9231
2009,7,AA,American Airlines Inc.,627,163,56,8,50,0,49,8,3,9834,3508,647,2278,4,3399
2009,7,B6,JetBlue Airways,388,96,25,1,41,0,29,7,1,7197,1985,108,2714,10,2381
2009,7,DL,Delta Air Lines Inc.,413,96,23,2,43,0,28,3,1,5799,1630,212,2052,2,1903
2009,7,UA,United Air Lines Inc.,478,89,22,2,28,0,37,8,1,5446,1431,113,1214,0,2687
2009,7,WN,Southwest Airlines Co.,1501,280,83,9,43,1,144,7,3,12448,3379,591,1721,24,6733
2009,8,AA,American Airlines Inc.,625,134,44,10,40,0,40,6,2,7647,2629,600,1782,13,2623
2009,8,B6,JetBlue Airways,386,86,25,1,34,0,27,5,1,5658,1740,73,1920,9,1916
2009,8,DL,Delta Air Lines Inc.,404,83,21,2,38,0,22,2,1,4283,1286,117,1618,0,1261
2009,8,UA,United Air Lines Inc.,467,85,21,2,27,0,36,7,1,5401,1454,134,1266,16,2530
2009,8,WN,Southwest Airlines Co.,1428,238,71,8,39,1,118,6,2,11893,3123,583,1780,34,6374
2009,9,AA,American Airlines Inc.,573,76,28,4,25,0,19,3,2,4292,1763,274,1021,1,1233
2009,9,B6,JetBlue Airways,315,35,19,0,14,0,2,0,0,1811,1144,6,561,1,99
2009,9,DL,Delta Air Lines Inc.,403,69,16,2,35,0,15,2,1,3817,1144,165,1476,2,1030
2009,9,UA,United Air Lines Inc.,427,47,13,1,15,0,18,4,1,2654,878,34,549,0,1194
2009,9,WN,Southwest Airlines Co.,1340,140,46,3,22,0,68,5,1,5736,1790,201,793,9,2943
2009,10,AA,American Airlines Inc.,609,141,41,4,53,0,42,4,2,7895,2492,251,2449,2,2701
2009,10,B6,JetBlue Airways,327,54,12,0,28,0,13,1,1,2711,674,27,1233,1,776
2009,10,DL,Delta Air Lines Inc.,426,85,18,2,45,0,20,2,1,4009,1107,94,1738,1,1070
2009,10,UA,United Air Lines Inc.,438,73,15,1,32,0,25,6,1,3876,934,38,1324,1,1580
2009,10,WN,Southwest Airlines Co.,1390,298,81,4,54,1,157,8,2,12545,3152,331,2014,22,7025
2009,11,AA,American Airlines Inc.,583,67,28,1,22,0,17,3,1,3478,1695,65,775,0,943
2009,11,B6,JetBlue Airways,342,36,10,0,15,0,11,0,1,1870,579,20,656,0,614
