ID,code,Airline,Year,Month,DOM_Flights,INT_Flights,TOT_Flights,DOM_Passengers,INT_Passengers,TOT_Passengers,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
1,AA,American Airlines,2009,1,"46,183.00","12,066.00","58,249.00","5,046,794.00","1,646,798.00","6,693,592.00",612.04,127.27,35.6,12.71,44.55,0.09,34.31,21.38,1.5,"7,298.73","2,257.21",798.92,"1,947.49",3.12,"2,292.00"
2,AA,American Airlines,2009,2,"42,031.00","10,654.00","52,685.00","4,817,178.00","1,394,746.00","6,211,924.00",550.19,89.77,31.8,2.37,33.28,0.04,22.29,12.28,0.88,"4,929.69","1,886.37",131.53,"1,498.47",1.23,"1,412.09"
3,AA,American Airlines,2009,3,"46,938.00","11,892.00","58,830.00","5,788,308.00","1,634,131.00","7,422,439.00",613.06,122.22,39.74,3.91,45.9,0.04,32.62,13.55,1.94,"7,175.41","2,592.51",256.28,"2,163.65",1.28,"2,161.68"
4,AA,American Airlines,2009,4,"45,069.00","11,499.00","56,568.00","5,598,830.00","1,638,680.00","7,237,510.00",584.68,137.94,38.5,5.35,53.13,0.03,40.93,9.19,2.32,"9,054.92","2,507.45",404.21,"2,977.58",1.85,"3,163.85"
5,AA,American Airlines,2009,5,"46,198.00","11,425.00","57,623.00","5,659,385.00","1,561,968.00","7,221,353.00",638.66,130,37.11,5.23,52.27,0.07,35.32,8.79,2.64,"7,694.53","2,338.14",411.23,"2,492.27",2.63,"2,450.26"
6,AA,American Airlines,2009,6,"45,168.00","11,418.00","56,586.00","5,901,624.00","1,723,349.00","7,624,973.00",607.11,166.43,53.83,9.7,54.27,0.08,48.55,16.8,4.01,"10,836.58","3,604.57",921.72,"2,776.93",3.53,"3,529.83"
7,AA,American Airlines,2009,7,"47,268.00","12,098.00","59,366.00","6,235,789.00","1,922,721.00","8,158,510.00",627.29,163.37,55.57,8.4,50.29,0.11,49,8.3,2.74,"9,834.28","3,507.64",646.51,"2,277.62",3.63,"3,398.87"
8,AA,American Airlines,2009,8,"47,151.00","11,727.00","58,878.00","5,873,874.00","1,845,142.00","7,719,016.00",624.61,134.11,44.37,9.53,39.99,0.16,40.06,6.43,2.17,"7,647.30","2,628.72",600.2,"1,781.75",13.37,"2,623.26"
9,AA,American Airlines,2009,9,"44,007.00","10,037.00","54,044.00","5,068,030.00","1,441,869.00","6,509,899.00",573.18,75.55,27.83,3.65,24.7,0.05,19.32,3.17,1.73,"4,291.86","1,762.60",274.34,"1,020.78",1.23,"1,232.91"
10,AA,American Airlines,2009,10,"45,514.00","10,497.00","56,011.00","5,582,936.00","1,537,370.00","7,120,306.00",609.01,140.56,41.48,3.51,53.36,0.06,42.15,4.01,1.76,"7,894.80","2,491.84",250.59,"2,449.31",1.92,"2,701.15"
11,AA,American Airlines,2009,11,"43,619.00","10,662.00","54,281.00","5,177,516.00","1,505,763.00","6,683,279.00",583.16,67.47,28.06,1.04,21.57,0.02,16.78,2.59,1.09,"3,478.31","1,694.72",65.12,774.8,0.47,943.2
12,AA,American Airlines,2009,12,"45,131.00","11,927.00","57,058.00","5,392,231.00","1,678,815.00","7,071,046.00",583.1,141.82,42.21,11.69,48.55,0.27,39.11,13.54,1.58,"8,597.41","2,551.80",872.8,"2,438.97",11.67,"2,722.16"
13,AA,American Airlines,2010,1,"45,545.00","11,842.00","57,387.00","5,071,320.00","1,623,904.00","6,695,224.00",589.51,103.08,35.68,5.26,35.17,0.28,26.69,14.63,1.65,"5,340.77","2,073.80",313.73,"1,354.34",30,"1,568.90"
14,AA,American Airlines,2010,2,"40,142.00","10,529.00","50,671.00","4,587,189.00","1,368,464.00","5,955,653.00",535.48,112.16,36.71,6.5,39.49,0.12,29.35,28.82,1.2,"6,388.13","2,255.67",495.82,"1,784.24",3.19,"1,849.20"
15,AA,American Airlines,2010,3,"46,963.00","12,095.00","59,058.00","5,826,764.00","1,676,622.00","7,503,386.00",598.73,133.62,40.83,9.29,47.39,0.09,36.01,7.23,2.44,"7,783.37","2,587.27",592.46,"2,177.43",3.01,"2,423.20"
16,AA,American Airlines,2010,4,"44,521.00","11,532.00","56,053.00","5,556,542.00","1,589,256.00","7,145,798.00",565.62,89.05,32.88,3.68,28.31,0.1,24.08,3.87,1.84,"4,944.53","2,009.80",253.66,"1,181.13",3.15,"1,496.80"
17,AA,American Airlines,2010,5,"44,949.00","12,299.00","57,248.00","5,668,495.00","1,706,781.00","7,375,276.00",606.96,128.2,36.54,7.38,47.18,0.11,36.99,10.96,2.97,"7,703.64","2,254.72",547.75,"2,365.13",3.31,"2,532.73"
18,AA,American Airlines,2010,6,"44,173.00","12,307.00","56,480.00","5,826,063.00","1,819,741.00","7,645,804.00",583.01,136.09,40.95,7.27,47.55,0.04,40.28,13.35,3.56,"8,118.55","2,557.36",569,"2,248.05",1.82,"2,742.31"
19,AA,American Airlines,2010,7,"46,117.00","13,282.00","59,399.00","6,019,072.00","2,044,146.00","8,063,218.00",602.77,130.1,42.49,7.29,43.1,0.08,37.14,7.39,3.25,"7,264.83","2,713.99",420.91,"1,779.08",2.49,"2,348.36"
20,AA,American Airlines,2010,8,"46,122.00","12,799.00","58,921.00","5,756,912.00","1,954,418.00","7,711,330.00",602.08,108.84,39.63,4.52,33.28,0.2,31.22,5.26,1.97,"6,346.86","2,695.82",325.9,"1,347.34",5.7,"1,972.10"
21,AA,American Airlines,2010,9,"43,268.00","10,957.00","54,225.00","5,120,391.00","1,570,938.00","6,691,329.00",563.94,87.01,27.5,6.09,30.44,0.09,22.9,4.34,2.04,"4,696.16","1,706.09",320.94,"1,329.40",4.64,"1,335.09"
22,AA,American Airlines,2010,10,"44,396.00","11,478.00","55,874.00","5,621,810.00","1,671,953.00","7,293,763.00",603.7,75.15,26.81,2.27,27.42,0.1,18.54,5.57,1.73,"4,081.22","1,502.59",256.84,"1,172.14",3.49,"1,146.16"
23,AA,American Airlines,2010,11,"43,094.00","11,233.00","54,327.00","5,271,371.00","1,597,873.00","6,869,244.00",575.53,81.52,26.52,3.37,30.83,0.02,20.77,2.07,1.01,"4,020.68","1,552.69",184.8,"1,124.37",1.21,"1,157.60"
24,AA,American Airlines,2010,12,"44,697.00","12,230.00","56,927.00","5,385,462.00","1,750,643.00","7,136,105.00",585.33,98.01,32.32,5.89,34.34,0.34,25.13,14.24,1.72,"5,355.58","1,875.22",354.86,"1,598.64",14.49,"1,512.37"
25,AA,American Airlines,2011,1,"44,782.00","12,562.00","57,344.00","4,984,095.00","1,721,945.00","6,706,040.00",591.68,98.9,34.88,6.12,31.13,0.01,26.75,19.1,1.26,"5,212.96","1,981.55",374.72,"1,269.32",0.65,"1,586.72"
26,AA,American Airlines,2011,2,"39,189.00","11,181.00","50,370.00","4,528,400.00","1,450,789.00","5,979,189.00",536.06,119.01,35.3,10.04,40.13,0.14,33.4,35.03,1.29,"6,421.86","2,048.06",665.69,"1,670.72",6.81,"2,030.58"
27,AA,American Airlines,2011,3,"46,034.00","12,423.00","58,457.00","5,672,521.00","1,749,361.00","7,421,882.00",598.78,102.36,37.31,2.48,34.54,0.06,27.97,10.69,1.71,"5,696.62","2,283.55",181.27,"1,502.64",2.19,"1,726.96"
28,AA,American Airlines,2011,4,"44,236.00","11,758.00","55,994.00","5,443,337.00","1,677,494.00","7,120,831.00",557.16,140.54,36.95,7.89,54.55,0.02,41.14,14.68,3.3,"8,599.59","2,280.40",663.94,"2,689.48",0.74,"2,965.04"
29,AA,American Airlines,2011,5,"43,937.00","12,071.00","56,008.00","5,620,742.00","1,738,519.00","7,359,261.00",590.87,137.97,41.45,10.48,45.73,0.05,40.26,32.72,4.64,"9,459.21","2,674.76","1,024.65","2,499.41",1.54,"3,258.85"
