Airline,Year,Month,DOM_Flights,DOM_Passengers,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,label
101,2010,1,45545,5071320,589.51,103.08,35.68,5.26,35.17,0.28,26.69,14.63,1.65,Increase
101,2011,1,44782,4984095,591.68,98.90,34.88,6.12,31.13,0.01,26.75,19.10,1.26,Increase
101,2012,1,43139,4997279,533.30,77.40,27.95,3.82,27.86,0.13,17.65,8.76,1.13,Increase
101,2013,1,44107,5195596,546.93,101.11,32.02,4.04,31.33,0.19,33.53,10.52,1.15,Increase
101,2014,1,43978,5222881,540.49,111.68,35.40,8.60,28.19,0.03,39.46,18.74,1.38,Increase
101,2015,1,43287,5140185,543.94,117.64,37.81,4.24,34.38,0.18,41.03,11.11,1.05,Decrease
101,2017,1,72378,8850729,786.37,150.53,44.18,3.37,60.93,0.51,41.53,10.54,2.20,Decrease
101,2018,1,72293,9031178,766.65,117.91,39.97,4.75,40.38,0.29,32.52,15.40,1.10,Increase
101,2010,2,40142,4587189,535.48,112.16,36.71,6.50,39.49,0.12,29.35,28.82,1.20,Decrease
101,2011,2,39189,4528400,536.06,119.01,35.30,10.04,40.13,0.14,33.40,35.03,1.29,Increase
101,2012,2,41446,4867812,510.26,64.71,24.25,1.35,23.41,0.04,15.64,5.66,0.76,Increase
101,2013,2,40076,4822406,497.46,94.33,27.68,4.92,28.25,0.03,33.46,10.11,1.05,Decrease
101,2014,2,39248,4816811,488.52,102.46,29.50,5.29,32.99,0.01,34.68,23.33,1.33,Increase
101,2015,2,37396,4684026,497.94,99.06,29.97,6.66,35.65,0.16,26.61,31.93,1.26,Decrease
101,2017,2,66463,8313772,714.07,96.23,30.02,1.49,39.68,0.13,24.91,8.41,1.22,Decrease
101,2018,2,67711,8753570,712.39,126.36,35.26,4.58,48.91,0.20,37.41,8.91,1.80,Increase
101,2010,3,46963,5826764,598.73,133.62,40.83,9.29,47.39,0.09,36.01,7.23,2.44,Increase
101,2011,3,46034,5672521,598.78,102.36,37.31,2.48,34.54,0.06,27.97,10.69,1.71,Decrease
101,2012,3,45567,5799813,569.25,103.51,29.50,4.65,36.43,0.11,32.81,8.90,1.91,Increase
101,2013,3,45332,5673163,556.12,94.78,27.59,4.10,29.07,0.08,33.94,5.27,1.26,Decrease
101,2014,3,45537,5741624,550.83,99.54,29.75,3.35,32.85,0.14,33.44,10.44,1.49,Increase
101,2015,3,44655,5730340,560.56,119.09,41.82,2.23,35.47,0.15,39.42,17.41,1.20,Decrease
101,2017,3,77089,10234502,867.93,156.81,46.10,2.73,59.40,0.36,48.22,13.61,1.49,Decrease
101,2018,3,75893,10422226,823.24,117.89,41.77,2.18,37.03,0.31,36.61,26.20,1.23,Increase
101,2010,4,44521,5556542,565.62,89.05,32.88,3.68,28.31,0.10,24.08,3.87,1.84,Decrease
101,2011,4,44236,5443337,557.16,140.54,36.95,7.89,54.55,0.02,41.14,14.68,3.30,Decrease
101,2012,4,42425,5407854,534.35,77.63,22.88,5.74,24.03,0.06,24.92,19.79,2.13,Increase
101,2013,4,43469,5349248,553.31,139.63,36.60,4.34,45.11,0.03,53.56,12.11,1.61,Decrease
101,2014,4,43630,5501405,551.52,93.81,26.58,3.05,34.02,0.07,30.09,1.75,2.23,Increase
101,2015,4,44663,5688230,559.63,109.18,32.58,6.84,36.25,0.14,33.37,4.43,2.96,Increase
101,2017,4,73099,9606283,767.25,154.36,41.25,3.76,60.05,0.26,49.04,7.76,1.48,Increase
101,2018,4,74118,9879265,759.02,115.68,37.49,3.43,39.33,0.21,35.23,4.65,1.64,Increase
101,2010,5,44949,5668495,606.96,128.20,36.54,7.38,47.18,0.11,36.99,10.96,2.97,Increase
101,2011,5,43937,5620742,590.87,137.97,41.45,10.48,45.73,0.05,40.26,32.72,4.64,Decrease
101,2012,5,45084,5810112,578.58,107.35,28.47,8.44,36.28,0.06,34.09,3.69,3.01,Increase
101,2013,5,45433,5661503,585.94,128.08,34.14,5.51,41.81,0.05,46.57,7.73,3.51,Decrease
101,2014,5,44916,5767256,556.88,112.98,33.59,5.80,35.39,0.05,38.15,13.00,3.35,Increase
101,2015,5,44065,5704600,588.29,113.38,33.14,8.17,35.54,0.13,36.40,11.63,2.83,Decrease
101,2017,5,77011,10136949,831.48,158.05,42.92,2.56,63.75,0.31,48.51,5.35,1.73,Increase
101,2018,5,77253,10356532,829.33,164.60,48.77,6.63,53.21,0.22,55.76,10.28,2.55,Increase
101,2010,6,44173,5826063,583.01,136.09,40.95,7.27,47.55,0.04,40.28,13.35,3.56,Increase
101,2011,6,44959,5859655,571.99,116.29,43.31,5.19,35.58,0.13,32.09,12.98,2.56,Increase
101,2012,6,43178,5763314,544.31,99.18,31.68,6.94,30.76,0.24,29.56,8.01,2.69,Decrease
101,2013,6,44895,5766511,551.99,156.05,38.81,8.77,41.94,0.07,66.46,7.85,2.87,Increase
101,2014,6,45663,5935921,545.54,167.64,40.55,9.61,51.86,0.07,65.56,6.00,3.27,Increase
101,2015,6,44042,5938232,568.72,125.73,38.70,5.77,36.66,0.19,44.42,6.91,2.65,Increase
101,2017,6,76142,10253686,787.03,195.34,51.40,8.55,67.02,0.39,67.98,13.20,2.46,Decrease
101,2018,6,77266,10635376,783.63,189.25,56.64,10.42,53.54,0.27,68.38,13.97,2.54,Increase
101,2010,7,46117,6019072,602.77,130.10,42.49,7.29,43.10,0.08,37.14,7.39,3.25,Decrease
101,2011,7,46435,6076925,590.61,117.59,44.74,5.77,31.47,0.03,35.57,12.39,2.06,Increase
101,2012,7,44515,5862790,559.40,121.99,36.29,7.63,41.03,0.04,36.99,6.78,3.16,Decrease
101,2013,7,46654,5904915,575.91,138.44,38.23,5.87,39.84,0.02,54.48,10.57,3.05,Increase
101,2014,7,47130,6137012,564.88,146.50,40.13,5.52,45.24,0.13,55.48,7.10,2.79,Increase
101,2016,7,80654,10707983,928.16,252.17,74.61,10.84,78.11,0.64,87.98,16.27,3.80,Decrease
101,2017,7,78311,10476594,863.08,212.25,59.80,11.37,66.79,0.57,73.72,16.37,3.59,Decrease
101,2018,7,79177,10882459,807.36,220.48,65.17,11.00,66.19,0.37,77.75,18.73,2.65,Increase
101,2010,8,46122,5756912,602.08,108.84,39.63,4.52,33.28,0.20,31.22,5.26,1.97,Decrease
101,2011,8,45552,5717545,586.39,118.61,42.99,7.21,33.46,0.07,34.88,20.01,2.45,Decrease
101,2012,8,44018,5670333,557.93,128.19,39.57,5.66,41.90,0.32,40.74,10.64,2.38,Decrease
101,2013,8,46595,5717993,572.24,98.48,30.86,3.19,28.57,0.09,35.76,6.45,2.13,Increase
101,2014,8,45957,5846685,549.60,139.14,39.80,6.87,42.43,0.07,49.97,5.57,2.80,Increase
101,2016,8,79138,10094479,862.81,223.18,65.74,8.99,72.86,0.68,74.92,16.11,3.41,Decrease
101,2017,8,78553,10366917,808.87,168.07,48.13,5.78,61.02,0.51,52.64,10.14,2.41,Increase
101,2018,8,79351,10584430,804.06,203.76,59.70,10.19,67.24,0.33,66.30,14.17,2.97,Increase
101,2010,9,43268,5120391,563.94,87.01,27.50,6.09,30.44,0.09,22.90,4.34,2.04,Increase
101,2011,9,43411,5277512,544.50,89.76,32.54,4.09,29.91,0.06,23.16,4.49,2.44,Increase
101,2012,9,40677,4927838,522.81,201.96,70.60,3.75,60.12,0.18,67.31,16.30,1.40,Decrease
